strategy,seed,incidents,avg_response_s,p95_response_s,ambulance_util,fire_util,police_util,mean_traffic_delay_s,queued_end
nearest,1,44,311.5663415345214,1369.5194955518837,0.9232638888888889,0.8643518518518518,0.737037037037037,5.161204203845185,5
nearest,2,35,191.5116614166236,653.6583856087586,0.6583333333333333,0.5745370370370371,0.5162037037037037,5.416220965818377,2
nearest,3,38,171.8707273458913,560.6390631457934,0.8739583333333333,0.7708333333333334,0.7671296296296296,5.191235338079949,4
nearest,4,36,203.2845782912256,577.1628901537847,0.8409722222222222,0.8449074074074074,0.7583333333333333,5.065467509763802,3
nearest,5,43,230.3712714804578,552.6407792904525,0.9420138888888889,0.6407407407407407,0.6092592592592593,5.1687632137577415,2
nearest,6,41,141.90137029322767,430.02187813871933,0.8868055555555555,0.5453703703703704,0.5861111111111111,5.0309636128925765,2
nearest,7,38,255.68518009120157,719.2782872970215,0.8909722222222223,0.9013888888888889,0.7430555555555556,5.243432441086134,3
nearest,8,42,153.0165216154363,414.7032494833086,0.8319444444444445,0.6333333333333333,0.6398148148148148,5.500546200017294,2
nearest,9,40,203.15960852850105,520.8206605143439,0.915625,0.7439814814814815,0.7236111111111111,5.0776460732639705,2
nearest,10,43,243.29127834247726,787.9910093409931,0.9347222222222222,0.5990740740740741,0.7263888888888889,5.306711263818481,0
nearest,11,43,279.38124246289243,1057.6593893272336,0.9090277777777778,0.837037037037037,0.7763888888888889,5.603705543290281,3
nearest,12,39,232.96437371477342,893.7306159348627,0.8767361111111112,0.6606481481481481,0.6180555555555556,5.117560801895314,1
nearest,13,39,194.94671741678283,494.7335297495988,0.7631944444444444,0.8768518518518519,0.7467592592592592,4.9174724135631065,3
nearest,14,47,210.4543859777406,483.839131391077,0.9263888888888889,0.6967592592592593,0.7949074074074074,5.23865970984298,4
nearest,15,35,254.55491547330547,1078.1320300452066,0.846875,0.9013888888888889,0.8245370370370371,5.126893573444808,1
nearest,16,37,224.18777353763872,1006.0307763225624,0.8138888888888889,0.5527777777777778,0.5643518518518519,5.151622959435229,3
nearest,17,44,238.18220482230166,757.9880369696912,0.8791666666666667,0.8351851851851851,0.7652777777777777,5.389551819607976,8
nearest,18,36,200.0251965294297,720.4144569299069,0.878125,0.7726851851851851,0.47129629629629627,5.233876627714982,1
nearest,19,33,199.80680005629696,597.5390825471475,0.7024305555555556,0.7273148148148149,0.6018518518518519,5.256924769875435,3
nearest,20,35,122.41793354208686,231.93672738283084,0.6503472222222222,0.6856481481481481,0.7166666666666667,5.539192944545907,0
